FID,UID,SITE_ID,VISIT_NO,INDEX_NLA,AGGR_ECO3_,AGGR_ECO9_,AREA_HA,COMID2012,ELEVATION,EPA_REG,LAKE_ORIGI,STATE,WGT_ALL,REF_NLA12_,RT_NLA12,RT_NLA12_B,RT_NLA12_Z,CHLX_RESUL,CHLX_UNITS,INDEX_SITE,INDEX_LAT_,INDEX_LON_,COLOR_RESU,COLOR_UNIT,CHLORIDE_R,CHLORIDE_U,NTL_RESULT,NTL_UNITS,PTL_RESULT,PTL_UNITS,TROPHIC_ST,BENT_COND,MMI_BENT_N,ZOOP_COND,MMI_ZOOP_N,AMITOTAL,HORIZDD,LitCvrQc3O,LitRipCvrQ,RDis_IX,RVegQc3OE,VERTDD,MICX_RESUL,MICX_UNITS,ATRAZINE_R,ATRAZINE_U,TOTALHG_RE,TOTALHG_UN,METHYLMERC,METHYLME_1,NAME
114,8629,NLA12_WY-147,1,Y,WMTNS,XER,2762.171646,18352151,1984.36,Region_8,MAN_MADE,WY,23.96943009, ,S,S,S,5.493333333,ug/L,18.5,42.05877,-110.11864,22,APHA Pt-Co,2.127,mg/L,0.355,mg/L,36,ug/L,EUTROPHIC,Good,61.4,Fair,62.65,0.12,13.88888889,1.782387624,1.171938406,0.526746097,0.945985915,2,0,ppb,0,ppb,46.51,ng/g,0.35,ng/g,Upper Colorado
115,8556,NLA12_IL-105,1,Y,PLNLOW,TPL,296.1995854,10284202,184.92,Region_5,MAN_MADE,IL,39.85661628, ,R,R,R,12.37333333,ug/L,16.5,39.410778,-87.803858,20,APHA Pt-Co,9.686,mg/L,0.603,mg/L,28,ug/L,EUTROPHIC,Good,46.9,Fair,40.32,0.335,0,1.349064907,1.877446527,0.366666667,2.27902794,0,0.14072,ppb,1.17,ppb,56.67,ng/g,17,ng/g,Wabash
116,6809,NLA12_IL-110,1,Y,PLNLOW,TPL,1.734537234,10081064,235.34,Region_5,MAN_MADE,IL,1019.5, ,S,S,S,4.533333333,ug/L,4.5,40.48012,-88.10272,15,APHA Pt-Co,13.646,mg/L,0.52,mg/L,24,ug/L,EUTROPHIC,Good,56.9,Good,45.15,0.235,0,0.767549942,0.799339895,0.562206573,0.843791827,0,0.32072,ppb,0.14,ppb,39.27,ng/g,0.46,ng/g,Wabash
117,8499,NLA12_IL-111,1,Y,PLNLOW,TPL,333.9449364,10432788,144.81,Region_5,MAN_MADE,IL,35.86111249, ,T,T,T,59.36,ug/L,10,38.761288,-88.076266,18,APHA Pt-Co,7.437,mg/L,0.986,mg/L,89,ug/L,MESOTROPHIC,Good,47.5,Poor,30.58,0.195,0,0.698488136,0.692141827,0.553420195,0.708446213,0,0.11668,ppb,1.07,ppb,62.7,ng/g,1.1,ng/g,Wabash
118,7793,NLA12_IN-102,1,Y,PLNLOW,UMW,194.0341611,18486002,255.79,Region_5,NATURAL,IN,12.79382035, ,T,T,T,4.272,ug/L,11.6,41.28154,-85.79297,18,APHA Pt-Co,27.307,mg/L,0.578,mg/L,37,ug/L,MESOTROPHIC,Poor,43.4,Poor,55.92,0.2575,0.15,0.272501872,0.37235967,0.750793651,0.448118534,0.15,0.17021,ppb,0.34,ppb,47.41,ng/g,0.42,ng/g,Wabash
119,7794,NLA12_IN-106,1,Y,PLNLOW,UMW,22.58998354,18486084,262.61,Region_5,NATURAL,IN,31.46598573, ,S,S,S,8.48,ug/L,14.6,41.22375,-85.65148,22,APHA Pt-Co,21.958,mg/L,0.614,mg/L,29,ug/L,MESOTROPHIC,Poor,39,Fair,64.07,0.39,0,2.08808054,1.539427581,0,1.346082365,0,0.08536,ppb,0.44,ppb,57.69,ng/g,2.8,ng/g,Wabash
120,7370,NLA12_IN-108,1,Y,PLNLOW,UMW,96.81697062,18487192,218.5,Region_5,NATURAL,IN,11.61891674, ,T,T,T,17.2,ug/L,9,41.077,-86.46371,16,APHA Pt-Co,18.069,mg/L,1.051,mg/L,58,ug/L,EUTROPHIC,Poor,22.5,Good,72.08,0.69,0.26,0.645081866,0.499891189,0.765739805,0.454477455,0.12,0.09807,ppb,0.31,ppb,39.56,ng/g,1.5,ng/g,Wabash
121,7754,NLA12_IN-110,1,Y,PLNLOW,UMW,322.0065588,18485954,250.67,Region_5,NATURAL,IN,7.1217646, ,T,T,T,6.186666667,ug/L,36,41.33376,-85.76771,20,APHA Pt-Co,21.289,mg/L,0.63,mg/L,21,ug/L,MESOTROPHIC,Poor,10.6,Poor,42.13,0.6225,0,0.27741423,0.522869473,0.897959184,0.684692146,0,0.49583,ppb,0.37,ppb,56.77,ng/g,0.91,ng/g,Wabash
122,8409,NLA12_IN-112,1,Y,PLNLOW,TPL,124.1815738,18464098,255.24,Region_5,MAN_MADE,IN,21.44809265, ,T,T,T,33.12,ug/L,10.7,39.71816,-86.72475,22,APHA Pt-Co,15.793,mg/L,0.765,mg/L,59,ug/L,EUTROPHIC,Fair,34.5,Poor,22,0.16,0.5,0.06072528,0.130810056,0.767392751,0.180581314,0.48,0.90756,ppb,0.65,ppb,46.67,ng/g,0.96,ng/g,Wabash
123,8168,NLA12_IN-115,1,Y,EHIGH,SAP,2761.795165,166899251,172.67,Region_5,MAN_MADE,IN,7.1217646, ,S,S,S,14.13,ug/L,5.5,39.05313,-86.44661,15,APHA Pt-Co,3.935,mg/L,0.376,mg/L,27,ug/L,MESOTROPHIC,Not Assessed,NA,Fair,63.33,0.005,0.888888889,0.362390104,0.846825357,0,1.171286649,0.15,0.09318,ppb,0.15,ppb,53.53,ng/g,0.32,ng/g,Wabash
124,7288,NLA12_IN-116,1,Y,EHIGH,SAP,6.315541703,18469408,249.35,Region_5,MAN_MADE,IN,685.7762136, ,S,S,S,1.944,ug/L,8,39.27645,-86.21265,15,APHA Pt-Co,4.966,mg/L,0.556,mg/L,16,ug/L,EUTROPHIC,Fair,48.1,Good,75.27,0.275,2.05,0.22170227,0.378872071,0.674453641,0.542793407,0.32,0.09341,ppb,0.08,ppb,117.65,ng/g,0.92,ng/g,Wabash
125,8307,NLA12_IN-117,1,Y,PLNLOW,TPL,18.96019997,18476067,211.85,Region_5,MAN_MADE,IN,79.86735895, ,T,T,T,4.284,ug/L,7.3,39.71709,-86.21139,7,APHA Pt-Co,125.758,mg/L,1.234,mg/L,9,ug/L,EUTROPHIC,Good,48.9,Poor,32.02,0.46,0,0.712938993,0.646282686,0.825,0.621729434,0,0.09999,ppb,0,ppb,43.33,ng/g,0.54,ng/g,Wabash
126,8341,NLA12_IN-126,1,Y,PLNLOW,TPL,6.354854858,18449927,205.58,Region_5,MAN_MADE,IN,19.97556585, ,S,S,S,26.88,ug/L,3.4,39.03801,-85.68192,11,APHA Pt-Co,7.909,mg/L,0.853,mg/L,84,ug/L,EUTROPHIC,Fair,36.7,Poor,24.17,0.015,7.333333333,0.170220001,0.30125114,0.723488895,0.395979734,2.133333333,0.07963,ppb,0.14,ppb,83.09,ng/g,0.3,ng/g,Wabash
127,7548,NLA12_IN-127,1,Y,EHIGH,SAP,592.288877,18469416,191.88,Region_5,MAN_MADE,IN,3.829073692, ,S,S,S,32.48,ug/L,6.4,39.26605,-86.41625,18,APHA Pt-Co,6.286,mg/L,0.84,mg/L,53,ug/L,EUTROPHIC,Fair,46.8,Poor,55.15,0.230555556,0.833333333,0.303155509,0.458493775,0.654916475,0.544780751,0.611111111,0.05295,ppb,0.06,ppb,52.63,ng/g,0.54,ng/g,Wabash
128,7444,NLA12_IN-128,1,Y,PLNLOW,UMW,49.05708786,18486010,253.16,Region_5,NATURAL,IN,4.906636023, ,S,S,S,4.08,ug/L,7.9,41.2865,-85.69183,18,APHA Pt-Co,24.052,mg/L,0.616,mg/L,32,ug/L,MESOTROPHIC,Poor,44.8,Fair,57.88,0.605,0.242857143,0.217334608,0.485949177,0.715631532,0.657677752,0.3,0.14371,ppb,0,ppb,38.96,ng/g,0.49,ng/g,Wabash
129,8051,NLA12_IN-128,2,N,PLNLOW,UMW,49.05708786,18486010,253.16,Region_5,NATURAL,IN,4.906636023, ,S,S,T,5.6,ug/L,8.4,41.28641,-85.69183,17,APHA Pt-Co,23.37,mg/L,0.581,mg/L,50,ug/L,EUTROPHIC,Poor,33.4,Fair,63.18,0.675,0,0.489270815,0.691390858,0.79010989,0.840859885,0,0.11973,ppb,0,ppb,NA,NA,NA,NA,Wabash
130,8410,NLA12_IN-131,1,Y,PLNLOW,TPL,13.33233781,10284182,216.39,Region_5,MAN_MADE,IN,8.10995549, ,T,T,T,0.908,ug/L,13,39.45499,-87.19133,11,APHA Pt-Co,4.039,mg/L,0.305,mg/L,8,ug/L,OLIGOTROPHIC,Good,53.1,Poor,29.05,0.7325,0.666666667,0.551123722,1.015725889,0.265178571,1.350058731,0.45,0.08719,ppb,0,ppb,54.85,ng/g,0.25,ng/g,Wabash
131,8645,NLA12_IN-135,1,Y,PLNLOW,TPL,5.110705271,18439954,132.96,Region_5,MAN_MADE,IN,19.97556585, ,T,T,T,3.56,ug/L,8.5,38.30515,-87.3184,7,APHA Pt-Co,3.129,mg/L,0.298,mg/L,31,ug/L,EUTROPHIC,Good,44.8,Poor,25.95,0.4775,0,1.068208285,1.182217098,0,1.291839503,0,0.06451,ppb,0,ppb,57.23,ng/g,1.1,ng/g,Wabash
132,8293,NLA12_IN-142,1,Y,PLNLOW,TPL,17.88193818,18450301,168.49,Region_5,MAN_MADE,IN,8.10995549, ,S,S,S,12.48,ug/L,1.4,38.66202,-85.75495,28,APHA Pt-Co,9.856,mg/L,1.524,mg/L,125,ug/L,EUTROPHIC,Good,46.1,Poor,29.27,0.6725,0,1.34415628,1.216785686,0.588709677,1.169330898,0,0.08964,ppb,9.7,ppb,74.68,ng/g,0.81,ng/g,Wabash
133,7753,NLA12_IN-144,1,Y,PLNLOW,UMW,79.76723127,18486026,272.66,Region_5,NATURAL,IN,3.829073692, ,T,T,T,7.4,ug/L,28,41.26957,-85.5409,30,APHA Pt-Co,14.896,mg/L,0.836,mg/L,31,ug/L,EUTROPHIC,Poor,34.6,Poor,54.12,0.1475,0.066666667,0.319213927,0.409754182,0.79650414,0.482929029,0.022222222,0,ppb,0.8,ppb,61.86,ng/g,0.9,ng/g,Wabash
134,7268,NLA12_IN-146,1,Y,EHIGH,SAP,47.0709968,18443656,180.28,Region_5,MAN_MADE,IN,4.906636023, ,S,S,S,2.56,ug/L,7.9,39.177906,-86.33911,12,APHA Pt-Co,1.365,mg/L,0.285,mg/L,24,ug/L,MESOTROPHIC,Fair,44.4,Good,77.32,0.455,0,1.876368308,1.768211147,0.045454546,1.299521283,0,0.12963,ppb,0,ppb,75.53,ng/g,0.56,ng/g,Wabash
135,7633,NLA12_IN-147,1,Y,PLNLOW,TPL,1.956428257,18474507,264.21,Region_5,MAN_MADE,IN,140.0869565, ,S,S,S,72,ug/L,1,40.1531,-85.64597,22,APHA Pt-Co,26.521,mg/L,2.256,mg/L,411,ug/L,EUTROPHIC,Not Assessed,NA,Good,67.28,0,0,0.429327732,0.610535359,0.798484849,0.747271701,0,0.05254,ppb,0.26,ppb,90.69,ng/g,0.35,ng/g,Wabash
136,8650,NLA12_IN-155,1,Y,PLNLOW,TPL,3.583425647,18469936,162.06,Region_5,MAN_MADE,IN,140.0869565,R,R,R,R,3.253333333,ug/L,9.4,39.05551,-87.14505,15,APHA Pt-Co,3.548,mg/L,0.389,mg/L,13,ug/L,MESOTROPHIC,Good,42.2,Good,50.9,0.4275,0.4,1.624867689,1.897113972,0.169047619,2.131512821,1.2,0.06754,ppb,0,ppb,96.05,ng/g,0.51,ng/g,Wabash
137,7829,NLA12_IN-159,1,Y,PLNLOW,TPL,5.286846482,18475983,277.56,Region_5,MAN_MADE,IN,19.97556585, ,S,S,S,60.912,ug/L,4.6,39.77671,-86.53529,24,APHA Pt-Co,25.226,mg/L,1.308,mg/L,148,ug/L,EUTROPHIC,Good,42.5,Good,57.68,0.435,0.32,0.270016279,0.927796795,0.593208461,1.386058573,0.03,0.09537,ppb,0.94,ppb,72.87,ng/g,4.8,ng/g,Wabash
138,7442,NLA12_IN-160,1,Y,PLNLOW,UMW,12.12058285,18485966,253.16,Region_5,NATURAL,IN,8.10995549, ,S,S,S,6.056,ug/L,6.4,41.32239,-85.76976,25,APHA Pt-Co,42.984,mg/L,0.803,mg/L,17,ug/L,EUTROPHIC,Fair,46.2,Poor,44.75,1.2,1,1.479512787,1.183943777,0.342268041,1.101832654,0.5,0.24612,ppb,0.07,ppb,152.26,ng/g,2.3,ng/g,Wabash
139,8408,NLA12_IN-162,1,Y,PLNLOW,TPL,5.574681425,18455245,192.96,Region_5,MAN_MADE,IN,19.97556585,R,R,B,R,16.32,ug/L,3.8,39.08442,-86.05679,25,APHA Pt-Co,1.855,mg/L,0.529,mg/L,39,ug/L,EUTROPHIC,Good,48.1,Good,68.68,0.825,2.05,1.235447027,1.344010516,0.282381802,1.454849271,0.5,0.18655,ppb,0.11,ppb,68.35,ng/g,1.1,ng/g,Wabash
140,8014,NLA12_IN-163,1,Y,PLNLOW,TPL,473.5328678,18475889,240.67,Region_5,MAN_MADE,IN,3.829073692, ,S,S,S,35.6,ug/L,9.1,39.82574,-86.30346,18,APHA Pt-Co,63.369,mg/L,0.998,mg/L,76,ug/L,EUTROPHIC,Poor,18.5,Fair,36.13,0,2.05,0.0919988,0.732942851,0.617099823,1.174416777,2,0.14405,ppb,1.43,ppb,70.59,ng/g,0.98,ng/g,Wabash
141,7772,NLA12_IN-164,1,Y,PLNLOW,UMW,4.458459741,18487162,245.85,Region_5,NATURAL,IN,19.97556585, ,S,S,S,2.309,ug/L,8.4,41.13129,-86.26611,22,APHA Pt-Co,6.751,mg/L,0.65,mg/L,18,ug/L,EUTROPHIC,Poor,35.6,Good,80.15,1.0425,0,0.542770855,1.011603916,0.242857143,1.321495803,0,0.14261,ppb,0.17,ppb,NA,NA,NA,NA,Wabash
142,8086,NLA12_IN-171,1,Y,EHIGH,SAP,9.520704013,18443564,217.18,Region_5,MAN_MADE,IN,19.97556585,R,R,R,R,11.952,ug/L,5.8,39.26316,-86.11551,28,APHA Pt-Co,0.827,mg/L,0.34,mg/L,33,ug/L,MESOTROPHIC,Fair,47.5,Fair,67.58,0.005,1.26,0.273660965,0.480012736,0.133333333,0.651496251,0.38,0,ppb,0.06,ppb,55.56,ng/g,2,ng/g,Wabash
143,7921,NLA12_IN-179,1,Y,PLNLOW,TPL,5.289581836,18459672,257.48,Region_5,MAN_MADE,IN,19.97556585, ,T,T,T,171,ug/L,3.1,39.76754,-85.75705,26,APHA Pt-Co,149.501,mg/L,6.6,mg/L,962,ug/L,OLIGOTROPHIC,Fair,34.1,Good,54.27,0.005,0,4.722605049,3.303081114,0.595918367,2.470964536,0,0.12171,ppb,0.11,ppb,NA,NA,NA,NA,Wabash
144,8116,NLA12_IN-180,1,Y,PLNLOW,TPL,6.12960706,10383195,129.57,Region_5,MAN_MADE,IN,19.97556585, ,S,S,S,13.44,ug/L,6.4,37.96843,-87.77122,15,APHA Pt-Co,8.234,mg/L,0.618,mg/L,49,ug/L,MESOTROPHIC,Fair,38.1,Good,48.68,0.01,0.477777778,0.886432879,0.862251694,0.388719312,0.871903351,0.422222222,0,ppb,0.1,ppb,81.82,ng/g,0.48,ng/g,Wabash
145,8438,NLA12_IN-183,1,Y,PLNLOW,TPL,10.44501869,18470198,149.98,Region_5,MAN_MADE,IN,8.10995549, ,S,S,S,12.976,ug/L,1.1,38.73981,-86.99619,30,APHA Pt-Co,21.592,mg/L,1.545,mg/L,416,ug/L,HYPEREUTROPHIC,Fair,37.8,Good,55.45,1.6725,2.65,2.039964583,1.327522829,0.457692308,0.900130715,1.09,0.09382,ppb,1.25,ppb,75.27,ng/g,0.88,ng/g,Wabash
146,8540,NLA12_IN-193,1,Y,PLNLOW,TPL,15.29819602,18475879,218.12,Region_5,MAN_MADE,IN,8.10995549, ,S,S,S,5.104,ug/L,8.2,39.89164,-86.11529,15,APHA Pt-Co,72.914,mg/L,0.35,mg/L,9,ug/L,MESOTROPHIC,Good,52.2,Poor,31.47,0.005,2.75,0.030666267,0.036999765,0.884910486,0.042241878,1.5,0.17165,ppb,0,ppb,62.5,ng/g,0.15,ng/g,Wabash
147,8651,NLA12_IN-201,1,Y,PLNLOW,TPL,1.586054545,10285038,150.21,Region_5,MAN_MADE,IN,140.0869565, ,S,S,S,24.48,ug/L,8.2,39.17048,-87.29183,28,APHA Pt-Co,7.484,mg/L,2.59,mg/L,63,ug/L,EUTROPHIC,Good,42.3,Fair,36.2,0.5175,0,1.327951871,1.155057807,0,1.075961177,0,0,ppb,0.18,ppb,57.14,ng/g,3.1,ng/g,Wabash
148,6656,NLA12_KS-101,1,Y,PLNLOW,SPL,10.23476444,5925122,415.33,Region_7,MAN_MADE,KS,70.9791242, ,T,T,T,6.433333333,ug/L,1.7,39.33301,-97.37386,29,APHA Pt-Co,4.238,mg/L,2.003,mg/L,801,ug/L,EUTROPHIC,Poor,21.7,Good,46.83,0.04,0,0.08096704,0.113629386,0.918181818,0.13838174,0,0.0787,ppb,0.75,ppb,38.74,ng/g,0.14,ng/g,Kansas
149,6969,NLA12_KS-101,2,N,PLNLOW,SPL,10.23476444,5925122,415.33,Region_7,MAN_MADE,KS,70.9791242, ,T,T,T,5.333,ug/L,1.5,39.33295,-97.374,26,APHA Pt-Co,4.982,mg/L,2.698,mg/L,820,ug/L,EUTROPHIC,Fair,33.1,Poor,28.52,0,0,0,0.081826381,0.919354839,0.137840121,0,0.10406,ppb,0.91,ppb,NA,NA,NA,NA,Kansas
150,6437,NLA12_KS-103,1,Y,PLNLOW,TPL,101.946167,167266522,350.58,Region_7,MAN_MADE,KS,39.13364426, ,T,T,T,12.59354839,ug/L,5.4,39.00175,-95.78036,4,APHA Pt-Co,27.467,mg/L,0.504,mg/L,28,ug/L,EUTROPHIC,Good,44,Poor,24.57,0.02,0,0.30625783,0.405533043,0.772195641,0.482544867,0,0.06752,ppb,0.29,ppb,41.03,ng/g,0.25,ng/g,Kansas
151,6404,NLA12_KS-108,1,Y,PLNLOW,TPL,26.86449268,743939,321.71,Region_7,MAN_MADE,KS,96.24792788, ,S,S,S,50.4,ug/L,1.5,39.63762,-95.4585,17,APHA Pt-Co,15.742,mg/L,1.194,mg/L,261,ug/L,EUTROPHIC,Fair,32.9,Fair,33.77,0.055,0,0.20332848,0.277597352,0.845104895,0.334448443,0,0.33697,ppb,1.77,ppb,40.23,ng/g,0.39,ng/g,Kansas
152,6927,NLA12_KS-122,1,Y,PLNLOW,SPL,4645.062434,120052972,443.97,Region_7,MAN_MADE,KS,20.14916696, ,S,S,S,20,ug/L,13,39.49657,-98.36965,20,APHA Pt-Co,69.626,mg/L,0.534,mg/L,60,ug/L,EUTROPHIC,Not Assessed,NA,Fair,40.88,0.005,0,0.13500814,0.277174405,0.477586207,0.378484548,0,0.11093,ppb,1.09,ppb,21.83,ng/g,0.48,ng/g,Kansas
153,7344,NLA12_NE-101,1,Y,PLNLOW,SPL,5312.030314,19040443,593.39,Region_7,MAN_MADE,NE,8.264109252, ,S,S,S,27.36,ug/L,10.2,40.05678,-99.27561,9,APHA Pt-Co,37.995,mg/L,0.923,mg/L,219,ug/L,MESOTROPHIC,Poor,22.9,Poor,5.53,0.01,19.49,0.95556289,0.745309235,0.363965382,0.629629763,1.2,1.01186,ppb,0.97,ppb,40.89,ng/g,0.53,ng/g,Kansas
154,8229,NLA12_NE-101,2,N,PLNLOW,SPL,5312.030314,19040443,593.39,Region_7,MAN_MADE,NE,8.264109252, ,S,S,S,16.64,ug/L,8.8,40.05357,-99.28937,11,APHA Pt-Co,39.048,mg/L,0.993,mg/L,267,ug/L,MESOTROPHIC,Not Assessed,NA,Poor,7.77,0,28.6,0.434438776,0.72683619,0.385416667,0.939837901,2.8,0.10224,ppb,0.86,ppb,NA,NA,NA,NA,Kansas
155,1000085,NLA12_NE-103,1,Y,PLNLOW,SPL,644.4589529,19069455,787.34,Region_7,MAN_MADE,NE,8.264109252, ,S,S,S,32.26666667,ug/L,4.4,40.35666,-100.67326,12,APHA Pt-Co,10.224,mg/L,1.058,mg/L,310,ug/L,EUTROPHIC,Not Assessed,NA,Poor,6.6,0.01,30.5,0.464235967,0.362216317,0.636065574,0.306103148,9,0.06594,ppb,0.29,ppb,20.91,ng/g,0.68,ng/g,Kansas
156,7405,NLA12_NE-110,1,Y,PLNLOW,TPL,32.08410411,18821320,425.89,Region_7,MAN_MADE,NE,86.73979847, ,T,T,T,257.6,ug/L,1.5,40.32737,-96.53367,55,APHA Pt-Co,9.932,mg/L,4.163,mg/L,1399,ug/L,MESOTROPHIC,Fair,40.1,Good,59.07,0.055,0,0.144143823,0.230289656,0.466666667,0.29352143,0,0.6617,ppb,2.4,ppb,32.68,ng/g,0.76,ng/g,Kansas
157,8326,NLA12_NE-158,1,Y,PLNLOW,SPL,38.5914698,18821500,403.72,Region_7,MAN_MADE,NE,27.9086655, ,T,T,T,5.48,ug/L,2.9,40.16875,-96.82952,26,APHA Pt-Co,4.65,mg/L,2.396,mg/L,697,ug/L,EUTROPHIC,Not Assessed,NA,Poor,28.03,0.01,0,0.050908027,0.273653702,0.473417722,0.427637809,0,0.07323,ppb,0.63,ppb,40.73,ng/g,0.34,ng/g,Kansas
158,7973,NLA12_IL-116,1,Y,PLNLOW,TPL,10.87426762,10144793,138.32,Region_5,MAN_MADE,IL,51.36939535, ,T,T,T,0.220699301,ug/L,7.5,37.691991,-88.711266,28,APHA Pt-Co,6.462,mg/L,1.61,mg/L,64,ug/L,OLIGOTROPHIC,Fair,35,Fair,39.02,0,0,1.366204397,1.319200021,0.045454546,1.327411213,0,2.04417,ppb,0,ppb,47.32,ng/g,0.6,ng/g,Ohio
159,8167,NLA12_IN-104,1,Y,PLNLOW,TPL,10.91514258,10107773,179.9,Region_5,MAN_MADE,IN,79.86735895, ,S,S,S,16.24,ug/L,7,38.21234,-87.11359,12,APHA Pt-Co,1.924,mg/L,0.621,mg/L,40,ug/L,MESOTROPHIC,Good,67.1,Good,47.18,0.96,0,0.52222861,0.538436042,0.89784336,0.564968864,0,1.04853,ppb,0.08,ppb,80,ng/g,0.56,ng/g,Ohio
160,7579,NLA12_IN-111,1,Y,PLNLOW,TPL,72.7512337,3921415,254.76,Region_5,MAN_MADE,IN,7.1217646, ,R,B,R,38.4,ug/L,8.8,39.60886,-84.97072,15,APHA Pt-Co,21.264,mg/L,1.359,mg/L,46,ug/L,EUTROPHIC,Good,49.5,Good,47.7,0.7225,0.73,1.514209067,2.045894241,0.129080119,2.454619074,0.3,1.72391,ppb,2.69,ppb,58.44,ng/g,6.1,ng/g,Ohio
161,7589,NLA12_IN-130,1,Y,EHIGH,SAP,55.32295042,10106615,139.07,Region_5,MAN_MADE,IN,3.829073692, ,S,S,S,5.893333333,ug/L,7.3,38.12427,-86.64764,15,APHA Pt-Co,4.134,mg/L,0.428,mg/L,19,ug/L,EUTROPHIC,Fair,46.6,Good,74.88,0.89,0,1.351302655,1.50533304,0.346969697,1.203984401,0,0.06222,ppb,0.1,ppb,63.16,ng/g,0.91,ng/g,Ohio
162,8070,NLA12_IN-174,1,Y,PLNLOW,TPL,38.22779306,10108339,118.43,Region_5,MAN_MADE,IN,4.906636023, ,S,S,S,3.204,ug/L,11.8,38.00339,-87.34215,15,APHA Pt-Co,9.78,mg/L,0.468,mg/L,17,ug/L,EUTROPHIC,Good,64.3,Good,60.68,0.455,0,0.494151969,0.65097453,0.691666667,0.772934562,0,0.26404,ppb,0.13,ppb,57.69,ng/g,1.7,ng/g,Ohio
163,8318,NLA12_IN-191,1,Y,PLNLOW,TPL,4.034012448,3407659,278.42,Region_5,MAN_MADE,IN,19.97556585, ,S,S,S,56.1,ug/L,2.3,38.9368,-85.19486,30,APHA Pt-Co,16.518,mg/L,1.943,mg/L,147,ug/L,EUTROPHIC,Poor,24.2,Good,49.13,0,4.475,0.173775511,0.5120626,0.502229175,0.748772072,0.433333333,0.08888,ppb,NA,NA,73.96,ng/g,0.32,ng/g,Ohio
164,8728,NLA12_IN-202,1,Y,PLNLOW,TPL,1.903495759,10162646,163.73,Region_5,MAN_MADE,IN,140.0869565, ,S,S,S,10.88,ug/L,2.4,38.46405,-85.80758,8,APHA Pt-Co,9.622,mg/L,0.955,mg/L,50,ug/L,EUTROPHIC,Good,54.6,Good,54.98,0.515,0.53,0.162136498,0.438386052,0.556692462,0.632284043,0.5,0,ppb,0.12,ppb,81.2,ng/g,0.4,ng/g,Ohio
165,6396,NLA12_KY-102,1,Y,EHIGH,SAP,20.41576571,10561818,138.38,Region_4,MAN_MADE,KY,76.44105032, ,S,S,S,13.376,ug/L,5.5,37.07252,-87.66496,14,APHA Pt-Co,1.56,mg/L,0.379,mg/L,25,ug/L,EUTROPHIC,Fair,48.8,Poor,55.12,0.035,7.1,0.259459465,0.338689703,0.69020979,0.301453021,2.5,0.14259,ppb,0,ppb,95.62,ng/g,1,ng/g,Ohio
166,6303,NLA12_KY-103,1,Y,EHIGH,SAP,70.45611645,1935812,182.27,Region_4,MAN_MADE,KY,24.88180347, ,S,S,S,NA, ,7.8,38.4801,-82.8712,5,APHA Pt-Co,3.166,mg/L,0.166,mg/L,22,ug/L,OLIGOTROPHIC,Good,77,Good,81.98,0,0,0.139603617,0.504148172,0.582125604,0.808097296,0,0.09475,ppb,0,ppb,55.56,ng/g,0.62,ng/g,Ohio
167,6285,NLA12_KY-107,1,Y,EHIGH,SAP,50.06446701,1826770,274.92,Region_4,MAN_MADE,KY,14.67828505, ,S,S,S,44.26666667,ug/L,8.7,37.6996,-84.22056,12,APHA Pt-Co,17.258,mg/L,0.823,mg/L,50,ug/L,EUTROPHIC,Poor,31.1,Poor,52.43,0.6775,0,1.057421628,0.840016783,0.445075758,0.59488302,0,0.03416,ppb,0,ppb,85.11,ng/g,0.22,ng/g,Ohio
168,6939,NLA12_KY-107,2,N,EHIGH,SAP,50.06446701,1826770,274.92,Region_4,MAN_MADE,KY,14.67828505, ,S,S,S,11.42857143,ug/L,3.6,37.69828,-84.22921,5,APHA Pt-Co,17.962,mg/L,0.486,mg/L,44,ug/L,MESOTROPHIC,Poor,18.2,Poor,46.63,0.17,0,0.401629342,0.445948621,0.821794872,0.489203784,0,0.09794,ppb,0,ppb,NA,NA,NA,NA,Ohio
169,6411,NLA12_KY-114,1,Y,PLNLOW,TPL,2204.701389,4003290,156.97,Region_4,MAN_MADE,KY,12.7219014, ,S,S,S,10.8,ug/L,16,37.33623,-86.15672,10,APHA Pt-Co,12.122,mg/L,1.373,mg/L,25,ug/L,MESOTROPHIC,Poor,22.8,Good,56.03,0.02,5.5,0.687882481,0.652346967,0.57972973,0.64835654,1.85,0.10199,ppb,1.19,ppb,67.14,ng/g,0.43,ng/g,Ohio
170,6945,NLA12_KY-116,1,Y,PLNLOW,TPL,151.083712,10561336,131.67,Region_4,MAN_MADE,KY,12.7219014, ,S,S,S,2.593333333,ug/L,5.6,37.35078,-87.52567,13,APHA Pt-Co,7.152,mg/L,0.415,mg/L,26,ug/L,MESOTROPHIC,Good,51.2,Poor,20.9,0.555,0,0.307497271,0.710386753,0.698484849,0.995272474,0,0.11843,ppb,0.58,ppb,75.27,ng/g,0.15,ng/g,Ohio
171,6428,NLA12_KY-117,1,Y,EHIGH,SAP,1.880156679,10263518,209.23,Region_4,MAN_MADE,KY,217.8518957, ,S,S,S,22.56,ug/L,5.1,38.21115,-85.40343,13,APHA Pt-Co,3.228,mg/L,0.775,mg/L,75,ug/L,EUTROPHIC,Poor,35.2,Poor,56.77,0.06,0,0.352701455,0.371589312,0.588420108,0.347815591,0,0.06574,ppb,0,ppb,49.3,ng/g,0.44,ng/g,Ohio
