"RESID","SHALLOW","MUDFLAT","BKWATER","CONN_BW","CONN_TR","N_STRUC","SHAL_LZ","DIST_RZ","X_NUTRI","ALGAE","SEDIMEN","SHOREER","NOCOVES","SHOREHO","SUBSTHO","STATE","RESINFO","RESNAME1","LONGITUDE","LATITUDE","CLUSID"
"KY2",0,3,0.901334269,1,3,3,3,2,0,0,4,2,5,3,4,"KY",2,"Lake Barkley",-88.22,37.02167,"SAP                3"
"KY20",1,1,2,0,0,4,1,2,2,0,2,2,0,1,2,"KY",20,"Green River Lock 6 pool",-86.26,37.20667,"TPL                3"
"KY21",1,1,4,4,3,3,3,4,3,2,3,3,3,3,3,"KY",21,"Greenup Pool",-82.85833,38.64667,"SAP                3"
"KY22",3,3,2,2,2,2,2,3,4,2,4,3,3,3,3,"KY",22,"Guist Creek Lake",-85.15833,38.20722,"SAP                3"
"KY23",0,0,3,3,3,2,0,4,2,0,3,3,3,3,2,"KY",23,"Uniontown Pool Ohio River",-87.95833,37.77,"TPL                1"
"KY24",2,4,2,2,2,4,2,1,2,1,3,4,4,4,4,"KY",24,"Kentukcy Lake",-88.108,36.242,"CPL                3"
"KY25",0,0,1,1,1,3,1,2,1,0,3,2,0,2,3,"KY",25,"Kentucky River Pool 11",-84.1032,37.78443,"SAP                4"
"KY26",0,1,1,1,1,3,1,2,1,0,3,1,1,1,1,"KY",26,"Kentucky River Pool 12",-83.9482,37.67731,"SAP                1"
"KY27",0,1,1,1,1,2,0,1,1,0,3,1,0,1,1,"KY",27,"Kentucky River pool 13",-83.8327,37.60166,"SAP                1"
"KY28",1,1,1,1,1,1,1,2,1,0,2,1,1,1,1,"KY",28,"Kentucky River pool 14",-83.7696,37.55246,"SAP                1"
"KY29",1,1,3,3,3,1,1,3,2,2,3,3,3,2,2,"KY",29,"Pool 5 Kentucky River",-84.8304,38.05214,"SAP                3"
"KY3",0,4,1,1,1,5,1,1,2,0,1,2,1,3,3,"KY",3,"Barren River Lake",-86.125,36.89667,"SAP                4"
"KY30",1,1,3,2,2,1,1,2,1,2,3,2,2,2,2,"KY",30,"Pool 6 Kentucky River",-84.8215,37.92678,"SAP                3"
"KY31",1,1,3,2,2,2,1,2,2,1,2,2,1,2,2,"KY",31,"Pool 7 Kentucky River",-84.7242,37.82954,"SAP                3"
"KY32",1,1,3,2,2,2,1,2,2,1,2,2,2,2,2,"KY",32,"Pool 8 Kentucky River",-84.5871,37.74568,"SAP                3"
"KY33",1,1,3,2,2,1,1,3,1,2,2,2,2,2,2,"KY",33,"Pool 9 Kentucky River",-84.4404,37.84329,"SAP                3"
"KY35",0,0,0,0,1,3,0,0,0,0,1,1,1,0,0,"KY",35,"Laurel River Lake",-84.27333,36.95667,"SAP                1"
"KY37",0,1,1,1.233998976,2,3,3,3,3,2,3,3,3,3,3,"KY",37,"Markland Pool",-84.965,38.77667,"SAP                3"
"KY38",2,3,4,3,2,1,1,1,1,1,2,1,1,1,1,"KY",38,"Martins Fork Lake",-83.25833,36.75167,"SAP                1"
"KY39",1,1,4,4,3,3,3,3,2,1,3,3,3,3,3,"KY",39,"McAlpine Pool",-85.76833,38.27167,"SAP                3"
"KY4",1,1,2,2,2,4,2,1,1,1,1,1,1,2,1,"KY",4,"Lake Beshear",-87.68139,37.14833,"TPL                3"
"KY40",0,0,2,2,1,1,0,4,1,0,2,1,0,3,1,"KY",40,"Lake Malone",-87.03333,37.08167,"TPL                3"
"KY41",0,2,3,3,3,2,2,3,2,2,3,3,3,3,3,"KY",41,"Newburgh Pool",-87.375,37.92833,"TPL                1"
"KY42",0,4,3,3,0,4,0,3,1,0,1,1,0,1,2,"KY",42,"Nolin River Lake",-86.245,37.27833,"TPL                3"
"KY43",1,1,1,1,2,4,2,3,2,1,4,4,4,3,3,"KY",43,"Ohio River L&D 52",-88.65167,37.12167,"TPL                1"
"KY44",1,1,1,1,2,4,2,3,2,1,4,4,4,3,3,"KY",44,"Ohio River  L&D 53",-89.03667,37.19833,"TPL                1"
"KY45",1,1,2,2,3,3,1,1,1,1,3,1,2,1,2,"KY",45,"Paintsville Lake",-82.87,37.83667,"SAP                1"
"KY46",3,4,0,0,1,3,4,3,3,1,3,3,3,2,3,"KY",46,"Lake Linville",-84.33472,37.38278,"SAP                4"
"KY47",0,3,3,3,0,4,0,2,1,0,2,2,1,1,1,"KY",47,"Rough River Lake",-86.5,37.62,"SAP                1"
"KY48",2,3,1,1,1,2,2,1,5,4,4,4,3,3,3,"KY",48,"Taylorsville Lake",-85.31667,38,"SAP                3"
"KY49",3,3,2,2,1.949278176,3,2,4,4,3,4,5,3,4,4,"KY",49,"Williamstown Lake",-84.51833,38.67667,"SAP                3"
"KY5",3,4,5,4,4,4,3,1,1,1,5,1,3,1,3,"KY",5,"Buckhorn Lake",-83.47167,37.34,"SAP                3"
"KY50",0,0,0,0,1,3,0,1,0,0,1,1,1,1,1,"KY",50,"Lake Cumberland",-85.145,36.87167,"SAP                1"
"KY51",0,0,0,0,0,1,1,1,0,0,1,1,0,1,1,"KY",51,"Wood Creek Lake",-84.19722,37.21389,"SAP                1"
"KY52",2,3,2,2,3,3,2,1,2,1,4,1,2,1,3,"KY",52,"Yatesville Lake",-82.69833,38.12667,"SAP                3"
"KY6",1,1,4,4,3,4,1,5,2,1,3,4,3,3,3,"KY",6,"Ohio River Cannelton pool",-84.38667,38.87722,"SAP                1"
"KY7",3,3,4,3,4,3,2,2,0,1,4,1,3,1,3,"KY",7,"Carr Creek Lake",-83.05667,37.22333,"SAP                3"
"KY77",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"KY",77,"Cedar Creek Lake",-84.551153,37.489842,"SAP                1"
"KY8",0,0,0,0,1,1,0,0,0,0,3,2,2,1,1,"KY",8,"Cave Run Lake",-83.53333,38.11833,"SAP                1"
"KY9",1,2,3,3,3,3,3,1,2,2,3,2,3,3,3,"KY",9,"Meldahl Pool",-84.17,38.79,"SAP                3"
"LA12",1,0,0,0,1,1,2,2,3,0,3,1,4,1,2,"LA",12,"Bundick Lake",-93.09,30.733,"CPL                3"
"LA13",3,4,1,4,4,1,4,2,5,4,5,4,4,4,5,"LA",13,"Caddo Lake",-93.91833,32.70667,"CPL                2"
"LA14",0,0,2,0,0,0,0,2,0,0,2,2,1,0,1,"LA",14,"Cane River",-92.975,31.568,"CPL                1"
"LA15",2,1,1,2,2,5,2,3,1,2,1,2,3,2,2,"LA",15,"Caney Lake",-92.499,32.218,"CPL                3"
"LA17",0,0,2,2,1,0,0,2,2,1,1,1,0,1,1,"LA",17,"Cheniere",-92.182,32.456,"CPL                3"
"LA18",0,1,2,0,0,0,1,0,2,1,1,1,1,1,1,"LA",18,"Chicot Lake",-92.269,30.828,"CPL                1"
"LA2",4,3,3,3,0,1,1,4,5,1,5,3,2,3,2,"LA",2,"Bayou Bonne Idee",-91.714,32.662,"CPL                4"
"LA20",1,0,0,0,1,3,0,0,0,0,1,1,1,0,1,"LA",20,"Cleco/Rodemacher",-92.717,31.382,"CPL                1"
"LA23",5,3,2,3,3,3,5,2,2,2,3,2,5,4,4,"LA",23,"Corney Lake",-92.736,32.904,"CPL                2"
"LA24",1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,"LA",24,"Cotile Lake",-92.733,31.338,"CPL                1"
"LA25",4,3,2,4,3,4,4,4,4,4,4,3,4,4,4,"LA",25,"Cross Lake",-93.803,32.515,"CPL                2"
"LA26",4,3,3,3,3,4,4,4,3,3,4,5,4,4,4,"LA",26,"Cypress Bayou Reservoir (Cypress Lake)",-93.664,32.652,"CPL                2"
"LA27",2,2,2,3,3,4,3,5,3,2,3,3,4,4,4,"LA",27,"Black Bayou Reservoir (Black Bayou - Bossier)",-93.668,32.648,"CPL                2"
"LA28",4,2,2,3,3,2,4,2,4,3,3,2,4,4,4,"LA",28,"Flag Lake",-93.587,32.505,"CPL                2"
"LA29",2,1,2,1,2,4,3,3,2,1,2,2,3,3,3,"LA",29,"Grand Bayou Reservoir",-93.214,31.998,"CPL                3"
"LA3",1,0,1,1,2,1,1,1,1,1,3,1,2,1,1,"LA",3,"Cocodrie Lake",-92.382,31.001,"CPL                3"
"LA30",5,1,0,0,1,0,5,2,0,0,2,0,3,3,3,"LA",30,"Iatt Lake",-92.66,31.555,"CPL                1"
"LA31",1.999683643,1.855160047,0.786072884,1.262109007,1.580795343,1,1.581861927,1.381075466,2,2,2,1,1,1,1,"LA",31,"Bodcau",-93.498,32.95,"CPL                3"
"LA32",0,0,2,0,0,1,0,1,0,0,1,1,0,0,0,"LA",32,"Indian Creek Lake",-92.46,31.128,"CPL                1"
"LA35",0,0,0,0,0,2,0,1,0,0,3,3,3,3,2,"LA",35,"Red River Pool 2",-92.29333,31.18667,"CPL                1"
"LA36",2,1,0,0,0,0,1,0,0,0,2,1,1,0,1,"LA",36,"Catahoula Lake",-91.86167,31.48333,"CPL                1"
"LA37",0,0,0,0,0,0,0,0,1,0,2,2,1,1,1,"LA",37,"Black River",-91.86167,31.48333,"CPL                1"
"LA38",4,3,3,3,3,2,5,3,1,2,3,3,4,3,3,"LA",38,"Kepler Lake",-93.153,32.317,"CPL                2"
"LA39",0,0,0,0,0,1,0,1,0,0,1,1,1,1,1,"LA",39,"Kincaid Lake",-92.614,31.282,"CPL                1"
"LA40",4,3,1,4,4,2,5,3,5,3,4,3,5,5,5,"LA",40,"Lake Bistineau",-93.427,32.327,"CPL                2"
"LA41",1,2,2,2,2,1,1,2,1,1,2,3,3,3,3,"LA",41,"Lake Claiborne",-92.904,32.739,"CPL                3"
"LA42",1.407018365,1,0,1,3,1,1,1,1,1,1,1,2,1,1,"LA",42,"Lake Martin",-91.906,30.222,"CPL                1"
"LA45",0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,"LA",45,"French Fork Old River",-91.97833,31.57833,"CPL                1"
"LA46",0,0,1,1,0,1,0,4,0,0,4,4,4,2,5,"LA",46,"Anacoco Lake",-93.384,31.092,"CPL                3"
"LA47",2,2,3,3,2,3,3,2,1,2,2,2,3,3,3,"LA",47,"Mill Creek Reservoir",-92.99,32.17,"CPL                3"
"LA48",3,2,1,1,1,1,4,3,2,2,3,2,2,3,2,"LA",48,"Miller's Lake",-92.378,30.755,"CPL                3"
"LA49",1,0,0,0,0,0,0,1,0,0,1,1,0,1,1,"LA",49,"Nantachie Lake",-92.785,31.604,"CPL                1"
"LA5",3,0,3,3,1,1,1,3.285446238,4,1,2,1,0,1,1,"LA",5,"Bayou DeSiard",-92.12,32.554,"CPL                4"
"LA50",2,2,0,0,0,2,1,2,2,0,3,3,1,3,2,"LA",50,"Poverty Point",-91.491,32.483,"CPL                3"
"LA51",0,0,0,2,0,1,0,0,0,0,2,2,3,1,1,"LA",51,"Red River Pool 3",-92.68333,31.48333,"CPL                1"
"LA53",3,0,0,0,0,0,2,0,1,0,4,1,3,3,3,"LA",53,"saline lake",-92.932,31.853,"CPL                1"
"LA54",0,0,0,0,0,2,0,1,0,0,1,1,1,0,1,"LA",54,"Sibley Lake",-93.758,31.755,"CPL                1"
"LA55",5,4,1,4,4,1,5,2,5,4,4,2,5,5,5,"LA",55,"Clear / Smithport Lake",-93.563,32.116,"CPL                2"
"LA56",5,0,5,5,0,4,4,1,4,2,5,0,2.399754578,1,4,"LA",56,"Spanish Lake",-91.862,30.071,"CPL                3"
"LA57",0,1,2,1,0,3,2,3,1,1,2,4,3,4,4,"LA",57,"Toledo Bend Reservoir",-93.5684,31.1857,"CPL                3"
"LA58",1,1,1,1,1,0,1,2,2,1,4,1,3,1,2,"LA",58,"Turkey Creek",-91.771,31.905,"CPL                3"
"LA6",5,5,1,3,3,1,5,3,5,4,5,3,5,5,5,"LA",6,"Black Bayou Lake at Hosston (Caddo Parish)",-93.898,32.882,"CPL                2"
"LA60",0,0,0,0,0,3,0,4,0,0,1,2,3,4,1,"LA",60,"Vernon Lake",-93.358,31.177,"CPL                3"
"LA61",5,5,1,5,5,1,5,3,5,4,5,3,5,5,5,"LA",61,"Wallace Lake",-93.67,32.31667,"CPL                2"
"LA7",4,0,0,0,1,0,3,0,0,0,3,1,3,0,3,"LA",7,"Black-Clear Lake",-92.952,31.855,"CPL                1"
"MD13",1,1,1,1,1,2,1,1,5,2,4,1,1,1,1,"MD",13,"Prettyboy Reservoir",-76.7074,39.6196,"SAP                4"
"MD15",1,2,2,2,1,3,1,1,0,2,2,2,2,2,2,"MD",15,"Savage River Reservoir",-79.13445,39.5075,"SAP                1"
"MD3",2,2,1,1,2,3,2,2,3,2,5,3,3,2,2,"MD",3,"Conowingo Pool",-76.1735,39.661,"SAP                3"
"MD4",0,0,0,0,0,1,0,2,3,1,2,4,4,4,4,"MD",4,"Deep Creek Lake",-79.3916,39.5091,"SAP                4"
"MD5",1,0,2,1,0,4,1,0,0,1,2,2,2,2,2,"MD",5,"Jennings Randolph Lake",-79.07167,39.48022,"SAP                1"
"MD7",1,1,1,1,0,1,1,2,3,1,2,1,1,1,1,"MD",7,"Little Seneca Lake",-77.3,39.185,"SAP                4"
"MI14",0,0,1,1,1,1,1,3,4,2,3,1,1,1,1,"MI",14,"Barton Pond",-83.7543,42.3083,"TPL                3"
"MN102",1,0,0,0,0,0,2,1,1,1,1,1,1,1,1,"MN",102,"Rabideau Lake",-94.5434,47.63176,"UMW                1"
"MN11",1,1,1,1,0,1,1,1,1,1,1,2,1,1,1,"MN",11,"Boulder Lake Reservoir",-92.2,47.0517,"UMW                1"
"MN112",0,1,1,1,1,1,1,3,4,2,1,4,1,1,1,"MN",112,"Big Sandy Lake",-93.31967,46.78792,"UMW                1"
"MN114",1,1,1,1,1,0,1,3,2,1,2,2,1,1,1,"MN",114,"Mississippi River",-94.2,45.6167,"UMW                1"
"MN119",0,0,3,3,1,0,1,4,1,0,1,2,1,1,1,"MN",119,"Mississippi River",-94.15,45.55,"UMW                1"
"MN124",3,4,1,1,1,1,2,1,4,3,4,2,1,1,3,"MN",124,"Sylvan Lake",-94.3783,46.305,"UMW                1"
"MN128",0,0,1,0,1,2,1,1,1,0,2,1,1,1,1,"MN",128,"Thomson",-92.4067,46.665,"UMW                1"
"MN145",1,1,1,1,1,1,2,1,1,1,2,2,1,1,1,"MN",145,"Whiteface Reservoir",-92.1917,47.28,"UMW                1"
"MN149",4,3,1,1,1,3,4,3,3,4,3,2,2,1,1,"MN",149,"Wild Rice",-92.1617,46.91,"UMW                1"
"MN154",1,1,1,1,0,1,3,1,2,1,3,3,3,1,2,"MN",154,"Grindstone Reservoir",-93.007429,46.125218,"UMW                1"
"MN155",1,1,1,1,1,1,1,0,1,1,3,1,1,1,2,"MN",155,"Bear Creek Reservoir",-92.314539,43.98948,"UMW                1"
"MN21",1,1,1,1,1,1,1,3,5,5,3,3,1,3,3,"MN",21,"Horseshoe Chain of Lakes",-94.42285,45.4554,"UMW                1"
"MN36",1,1,1,1,1,1,1,3,4,4,2,3,1,1,1,"MN",36,"Fish Lake Reservoir",-92.2783,46.9567,"UMW                1"
"MN52",0,1,1,1,1,1,1,4,1,1,2,5,2,1,2,"MN",52,"Island Lake Reservoir",-92.225,46.9917,"UMW                1"
"MN57",2,2,2,1,1,3,2,3,4,4,5,3,4,3,3,"MN",57,"Lake Byllesby",-92.9333,44.5167,"TPL                1"
"MN61",1,2,1,1,1,1,1,2,2,1,3,2,1,1,1,"MN",61,"Mississippi River",-94.3678,45.9756,"UMW                1"
"MN9",0,0,2,2,1,1,1,3,2,2,1,1,1,1,1,"MN",9,"Blandin Reservoir",-93.53,47.2317,"UMW                1"
"MN94",2,3,1,1,1,1,1,2,4,2,4,1,1,1,1,"MN",94,"Placid Lake",-94.485,46.315,"UMW                1"
"MO11",3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,"MO",11,"Duck Creek Pool #1",-90.10139,37.0225,"CPL                1"
"MO14",1,1,4,4,2,3,2,0,2,1,3,1,2,1,2,"MO",14,"Edwin Pape Lake (Concordia)",-93.5817,38.93336,"TPL                3"
"MO15",0,0,3,2,2,3,0,1,1,1,2,2,1,1,1,"MO",15,"Fellows Lake",-93.23102,37.31481,"SAP                1"
"MO16",0,0,1,1,1,2,1,1,2,1,2,1,1,1,1,"MO",16,"Forest Lake",-92.65822,40.16961,"TPL                3"
"MO18",2,2,1,1,1,1,1,2,2,1,2,2,2,1,1,"MO",18,"Harrisonville City Lake",-94.32583,38.76444,"TPL                3"
"MO19",2,1,1,1,2,2,1,0,2,1,4,3,3,3,2,"MO",19,"Truman Reservori",-93.40167,38.26667,"SAP                3"
"MO2",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,"MO",2,"Alpine Lake",-91.08155,38.7492,"TPL                1"
"MO20",2,1,1,1,2,1,1,1,1,1,2,3,3,2,2,"MO",20,"Hazel Creek Lake",-92.62907,40.29973,"TPL                1"
"MO21",4,1,1,1,3,4,4,2,3,1,4,3,4,4,4,"MO",21,"Holden City Lake",-94.0348,38.76115,"TPL                1"
"MO22",0,0,0,0,0,5,0,1,4,1,1,2,1,4,1,"MO",22,"Indian Hills",-91.4575,38.1075,"SAP                4"
"MO23",0,1,4,4,1,3,1,1,2,1,2,1,2,1,1,"MO",23,"Lake Jacomo",-94.3079,38.99298,"TPL                3"
"MO24",1,1,2,1,1,3,1,2,2,2,2,2,2,1,1,"MO",24,"Lake Lotawana",-94.2468,38.93564,"TPL                3"
"MO25",1,3,2,2,1,4,1,3,3,1,3,1,1,1,1,"MO",25,"Lake Paho",-93.65619,40.3991,"TPL                2"
"MO26",4,1,2,2,2,4,4,1,3,1,4,0,4,0,3,"MO",26,"Lake Springfield",-93.26366,37.1121,"SAP                4"
"MO27",0,0,1,0,0,3,1,5,3,2,4,2,3,4,4,"MO",27,"Lake St. Louis",-90.7652,38.80179,"TPL                1"
"MO29",2,3,0,0,2,3,2,1,3,1,4,3,3,4,3,"MO",29,"Lake Viking",-94.05677,39.9381,"TPL                1"
"MO3",4,4,1,1,2,3,4,2,4,1,4,2,3,3,4,"MO",3,"Atkinson Lake",-94.04638,38.00633,"TPL                2"
"MO30",1,1,3,1,1,4,1,4,4,2,2,1,1.521948208,4,3,"MO",30,"Lake Winnebago",-94.35561,38.81785,"TPL                3"
"MO35",0,0,3,4,2,4,1,4,3,1,5,4,5,3,3,"MO",35,"Mississippi River Pool 24",-90.90108,39.37905,"TPL                2"
"MO36",2,3,3,4,2,3,2,4,3,1,5,4.320171073,4,4,3,"MO",36,"Upper Mississippi River Pool 25",-90.68385,39.00617,"TPL                2"
"MO37",3,3,2,2,0,4,3,4,4,1,2.766200139,3.481135936,2.128584212,3.500860407,3.22100206,"MO",37,"Sandy Slough",-90.70475,39.02296,"TPL                2"
"MO38",1,1,1,1,1,2,1,2,3,0,3,5,3,1,1,"MO",38,"Long Branch Lake",-92.51333,39.75167,"TPL                1"
"MO39",2,3,1,1,2,1,2,3,2,1,3,4,2,2,2,"MO",39,"Longview Lake",-94.46833,38.92667,"TPL                3"
"MO40",1,1,2,2,1,2,1,1,2,2,1,1,2,2,2,"MO",40,"McDaniel Lake",-93.31439,37.29469,"SAP                1"
"MO41",0,0,3,4,2,4,1,4,3,1,5,4,5,3,3,"MO",41,"Upper Mississippi River Pool 20",-91.5149,40.1433,"TPL                2"
"MO42",0,0,3,4,2,4,0,4,3,1,5,4,5,3,3,"MO",42,"Upper Mississippi River Pool 21",-91.4288,39.903,"TPL                2"
"MO43",0,0,3,4,2,4,1,4,3,1,5,4,5,3,3,"MO",43,"Upper Mississippi River Pool 22",-91.2487,39.6354,"TPL                2"
"MO44",4,1,1,1,2,3,4,1,3,1,5,3,5,4,3,"MO",44,"Montrose Lake",-93.91695,38.30861,"TPL                1"
"MO45",0,0,2,1,0,1,0,2,4,1,2,3,1,0,0,"MO",45,"Mozingo Lake",-94.77625,40.34748,"TPL                3"
"MO46",0,0,0,0,0,2,0,1,0,0,1,1,2,2,2,"MO",46,"Lake Nehai",-92.89191,39.5904,"TPL                3"
"MO47",1,2,1,1,1,1,1,4,2,1,1,2,3,3,2,"MO",47,"Lake of the Ozarks",-92.6248,38.2031,"SAP                3"
"MO48",0,1,0,0,1,2,1,1,5,2,4,2,3,1,1,"MO",48,"Pomme de Terre",-93.32,37.90167,"SAP                3"
"MO5",2,3,2,2,1,3,1,1,2,1,2,1,2,3,3,"MO",5,"Blue Springs Lake",-94.33833,39.01833,"TPL                1"
"MO50",4,4,3,3,4,2,2,2,3,2,3.815635423,2.879052702,3.122572973,2.707820178,2.622378016,"MO",50,"Prairie Lee Lake",-94.33096,38.94431,"TPL                1"
"MO51",1,1,2,2,1,4,2,4,4,2,2,2,1,4,1,"MO",51,"Raintree Lake",-94.38159,38.83459,"TPL                3"
"MO52",3,2,2,2,4,4,1,1,2,1,4,4,4,3,3,"MO",52,"Smithville Reservoir",-94.555,39.39833,"TPL                1"
"MO56",0,0,2,1,1,1,0,1,2,0,1,3,1,1,1,"MO",56,"Stockton Lake",-93.75833,37.69167,"SAP                1"
"MO58",0,0,1,1,1,1,0,1,1,1,1,1,1,0,0,"MO",58,"Sugar Creek Lake",-92.47917,39.47361,"TPL                3"
"MO61",0,1,0,0,0,1,0,3,3,1,2,1,1,1,1,"MO",61,"Table Rock Lake",-93.30833,36.595,"SAP                1"
"MO63",3,2,1,2,3,2,2,1,1,1,4,4,3,3,2,"MO",63,"Thomas Hill Reservoir",-92.6445,39.55104,"TPL                1"
"MO64",4,4,1,1,1,2,3,1,3,1,4,2,2,1,2,"MO",64,"Lake Niangua",-92.8517,37.9383,"SAP                3"
"MO65",4,4,3,2,2,2,1,2,2,1,2,1,1,1,1,"MO",65,"Wappapello",-90.27982,36.93151,"SAP                3"
"MO7",0,2,2,1,1,3,1,0,4,0,4,3,2,3,3,"MO",7,"Mark Twain Lake",-91.64491,39.52595,"TPL                1"
"MO8",3,3,1,1,3,3,2,5,3,1,3,5,3,5,2,"MO",8,"Salt River Re-regulation Pool",-91.6498,39.5453,"TPL                2"
"MO9",1,0,3,1,0,5,0,5,1,1,3,3,1,3,3,"MO",9,"Clearwater Lake",-90.77167,37.13667,"SAP                3"
"MS10",3,3,1,1,1,1,3,0,1,1,3,1,2,2,2,"MS",10,"Bluff Lake",-88.783743,33.279496,"CPL                3"
"MS15",1,1,1,1,1,3,1,1,0,1,1,1,1,1,1,"MS",15,"Elvis Presley Lake",-88.6583,34.2967,"CPL                1"
"MS16",2,4,5,5,5,4,3,2,1,1,5,4,4,4,3,"MS",16,"Enid Lake",-89.82167,34.15833,"CPL                4"
"MS18",5,5,5,5,5,1,5,2,1,1,5,5,4,4,5,"MS",18,"Lock C",-90.1926,33.0297,"CPL                2"
"MS2",5,5,5,5,5,1,5,1,4,1,5,4,5,5,5,"MS",2,"Aberdeen Lake",-88.52,33.83,"CPL                2"
"MS20",5,5,5,5,5,1,5,2,1,1,5,4,5,5,5,"MS",20,"Lock E",-88.365,34.46333,"CPL                2"
"MS21",5,5,3,3,4,2,4,2,1,1,5,4,4,4,5,"MS",21,"Lock B",-88.425,34.065,"CPL                2"
"MS22",5,5,4,4,4,4,5,3,2,1,5,4,4,4,3,"MS",22,"Grenada Lake",-89.77167,33.80833,"CPL                4"
"MS23",0,1,1,1,2,4,1,1,0,0,1,2,1,1,1,"MS",23,"Bay Springs Reservoir",-88.325,34.525,"CPL                1"
"MS24",5,5,5,5,5,1,5,2,3,1,5,5,5,5,5,"MS",24,"Columbus Lake",-88.49,33.51667,"CPL                2"
"MS25",4,4,4,4,4,2,4,1,1,1,5,4,5,5,5,"MS",25,"Lock D",-88.408423,34.362553,"CPL                2"
"MS26",1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,"MS",26,"Kemper County Lake",-88.715,32.8067,"CPL                1"
"MS27",1,1,1,1,1,0,1,0,1,0,1,2,0,0,1,"MS",27,"Lake Bill Waller",-89.71667,31.19,"CPL                1"
"MS28",2,2,1,1,0,0,1,0,0,1,1,1,0,0,0,"MS",28,"Lake Bogue Homa",-89.025,31.7033,"CPL                1"
"MS29",0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,"MS",29,"Lake Calling Panther",-90.4808,31.9708,"CPL                1"
"MS3",4,4,3,3,4,2,3,2,1,1,5,4,3,3,4,"MS",3,"Lock A",-88.48892,34.012209,"CPL                2"
"MS33",1,1,1,1,1,2,1,1,1,1,2,2,1,1,1,"MS",33,"Lake Lamar Bruce",-88.6694,34.3867,"CPL                1"
"MS35",1,1,0,1,2,1,1,1,1,1,2,1,3,1,1,"MS",35,"Lake Lincoln",-90.3267,31.6783,"CPL                1"
"MS38",4,4,1,1,1,1,4,1,1,1,2,2,1,2,2,"MS",38,"Loakfoma Lake",-88.778414,33.260686,"CPL                3"
"MS43",2,2,4,4,4,2,2,1,1,0,2,2,2,2,2,"MS",43,"Okatibbee Reservoir",-88.79833,32.475,"CPL                1"
"MS44",4,4,2,2,2,4,4,1,2,1,4,4,4,4,4,"MS",44,"Oktibbeha County Lake",-88.93166,33.505,"CPL                2"
"MS46",1,1,1,0,1,2,1,1,1,1,1,1,0,0,0,"MS",46,"Geiger Lake",-89.23833,31.13389,"CPL                1"
"MS47",0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,"MS",47,"Lake Tangipahoa",-90.5286,31.175,"CPL                1"
"MS48",0,0,0,0,0,0,0,0,2,1,3,1,1,1,1,"MS",48,"Ross Barnett Reservoir",-90.06361,32.40222,"CPL                1"
"MS49",3,4,4,4,4,4,4,1,1,1,4,4,5,4,3,"MS",49,"Sardis Lake",-89.7868,34.4,"CPL                4"
"MS53",1,1,1,1,1,3,1,1,0,0,1,1,1,1,1,"MS",53,"Trace State Park",-88.895,34.2367,"CPL                1"
"MS58",3,2,2,2,3,4,2.992674771,2,1,1,3,2,3,2,2,"MS",58,"Whites Creek Lake",-89.2756,33.5536,"CPL                3"
"MS6",5,5,2,4,4,4,5,3,2,1,5,4,5,5,4,"MS",6,"Arkabutla Lake",-90.12333,34.75667,"CPL                4"
"MT10",2,0,0,0,3,3,0,2,2,1,4,1,4,2,1,"MT",10,"Cooney Reservoir",-109.2014,45.4499,"NPL                2"
"MT100",5,5,1,1,1,3,4,1,4,3,2,3,3,3,2,"MT",100,"Yellow Water Reservoir",-108.4712,46.9023,"NPL                2"
"MT103",2,1,1,1,1,1,2,3,1,0,4,1,2,1,2,"MT",103,"Dodson Diversion Dam",-108.3099,48.41194,"NPL                2"
"MT14",3,3,1,1,2,2,2,1.111939025,1,3,1,1,1,2,2,"MT",14,"Delmoe Lake",-112.3416,45.9843,"WMT                2"
"MT16",1,0,0,0,0,1,1,1,0,1,2,2,1,3,3,"MT",16,"Eureka Reservoir",-112.3178,47.8784,"NPL                1"
"MT20",4,3,1,1,1,2,1,3,1,1,3,2,1,1,1,"MT",20,"Frenchman Reservoir",-107.2243,48.9588,"NPL                2"
"MT21",3,3,1,1,1,2,0,2,1,0,4,3,3,2,2,"MT",21,"Fresno Reservoir",-109.946,48.59951,"NPL                1"
"MT22",1,1,0,0,0,4,0,1,0,0,4,1,1,1,2,"MT",22,"Gibson Reservoir",-112.7616,47.60138,"NPL                1"
"MT25",1,1,2,1,1,3,2,2,2,3,2,3,1,2,2,"MT",25,"Hauser",-111.8863,46.7649,"NPL                2"
"MT26",1,1,1,1,1,0,1,1,0,5,1,1,1,1,2,"MT",26,"Hebgen Reservoir",-111.3354,44.8623,"WMT                1"
"MT27",1,1,1,1,1,3,2,1,1,2,1,2,1,1,1,"MT",27,"Helena Valley Regulating Reservoir",-111.8828,46.64132,"WMT                2"
"MT31",1,1,1,0,0,3,1,3,1,2,2,2,0,1,1,"MT",31,"Holter",-112.0035,46.9913,"NPL                2"
"MT33",0,0,0,0,1,1,0,0,0,0,1,0,1,0,1,"MT",33,"Hungry Horse Reservoir",-114.0126,48.34133,"NPL                1"
